Date,GOOGL,GLD,FB
2010-01-05,-0.0009108014323097047,-0.0044036600742877186,
2010-01-06,0.016499590241556783,-0.0252087077861054,
2010-01-07,-0.006187803673431969,-0.02327955016804617,
2010-01-08,0.004963030138964042,0.01333107187347915,
2010-01-11,0.013288991291488195,-0.001511541132258598,
2010-01-12,-0.020912716365311782,-0.017684027087440324,
2010-01-13,0.009503149778317566,-0.0057410549198617655,
2010-01-14,0.004393024884408847,0.004701142901252897,
2010-01-15,-0.010443613411082908,-0.016699167669911863,
2010-01-19,0.005953418672619336,0.013137926020630129,
2010-01-20,-0.023134819488920818,-0.012269846367888193,
2010-01-21,-0.014411593273148782,0.0044279028191698275,
2010-01-22,-0.00186276422102738,-0.056554238598196076,
2010-01-25,0.0028926472500261373,-0.01819966751040469,
2010-01-26,0.0007442779844357705,0.0044814852349794885,
2010-01-27,-0.009576041457345363,-0.0005899340038341139,
2010-01-28,-0.0004693138127224161,-0.014406922970618519,
2010-01-29,-0.004883583634008759,-0.008141675701288764,
2010-02-01,0.022555672164549682,0.005811952351322036,
2010-02-02,0.007198883381613008,-0.003564506149348001,
2010-02-03,-0.003940254850368974,0.01826330488143424,
2010-02-04,-0.039834352525327084,-0.025960621077952276,
2010-02-05,0.0029701733361069405,0.008561471403287555,
2010-02-08,-0.006113861291555223,0.004103235343457357,
2010-02-09,0.013168041011456744,0.005567302430153021,
2010-02-10,-0.0027511715111974144,-0.0037096654347301694,
2010-02-11,0.019120946942895456,0.003648636868667898,
2010-02-12,-0.0008400634978081857,-0.00611491773226458,
2010-02-16,0.024103157472877838,0.01534372059239586,
2010-02-17,-0.003375323753640136,-0.005708566171629403,
2010-02-18,0.006681949656750508,0.009308747930008687,
2010-02-19,-0.004637224823498154,-0.004528553500319443,
2010-02-22,-0.0036539782255049507,0.0037723756642400468,
2010-02-23,-0.010818749426973362,-0.014240962047482488,
2010-02-24,-0.00491239229689866,-0.006728041291464981,
2010-02-25,0.008848705208190033,-0.00948312947075214,
2010-02-26,0.010340707420195994,0.000702830359104567,
2010-03-01,0.0,0.011180671748315385,
2010-03-02,0.0145298090103263,0.015712778863580246,
2010-03-03,0.005494505642978932,0.007873353734655808,
2010-03-04,-0.0071664876959550705,0.01699922657886943,
2010-03-05,-0.00018049264313835245,0.017346163707631534,
2010-03-08,-0.00839275351308999,-0.00306626780833108,
2010-03-09,-0.0014560976007308435,-0.0040712647995087,
2010-03-10,-0.011392635696385043,0.02902592034717721,
2010-03-11,0.0011984603927495119,0.008136016732441131,
2010-03-12,-0.005985276353320025,-0.0027532452221765698,
2010-03-15,0.0037980918146760523,-0.02822933336586475,
2010-03-16,0.01882614415996553,0.0035867965526052976,
2010-03-17,-0.007337010736648386,0.0006369267639882992,
2010-03-18,0.006843690367503985,0.001485324332885174,
2010-03-19,-0.01866954028165813,-0.011299480533210504,
2010-03-22,-0.004894708209223443,-0.004464285762117326,
2010-03-23,0.00529002320185601,-0.015246593886062088,
2010-03-24,-0.01864842134416533,0.015173004967005575,
2010-03-25,0.004515484350456678,0.009958168445833415,
2010-03-26,0.016950711902516513,-0.0003375408708796712,
2010-03-29,0.0014734690661559744,-0.0004265119420845398,
2010-03-30,-0.0071724045977011874,0.007574038648537895,
2010-03-31,0.009076558219166751,0.0007234564249705143,
2010-04-01,0.012023910381567138,0.00296237126377652,
2010-04-05,0.005713740146676249,0.0038853848639877056,
2010-04-06,0.0012625124110605679,-0.004886066537220013,
2010-04-07,0.013149590319279314,-0.008236260066978307,
2010-04-08,0.0014223842372189655,0.007009200405886372,
2010-04-09,0.008788255503093591,-0.00223787029450262,
2010-04-12,-0.005543796247305499,0.011497232016829395,
2010-04-13,-0.002831607772204037,0.024514209652315436,
2010-04-14,0.0030170999553269517,0.003800478821675668,
2010-04-15,0.0054852959876607885,0.010696040420155041,
2010-04-16,-0.021205490167963248,-0.07584410727669666,
2010-04-19,-0.0008090255449303418,-9.08824882464021e-05,
2010-04-20,0.002788996800917598,0.008980189203456891,
2010-04-21,0.007626045286434956,-0.001333204830881285,
2010-04-22,-0.004184863399249617,-0.013061531402351,
2010-04-23,0.012070869530431684,-0.0037838810822661273,
2010-04-26,-0.0038872867941111,-0.024495824046266712,
2010-04-27,0.016674031042128726,-0.0048529040839787605,
2010-04-28,-0.0027915816834577227,0.00024571314373211806,
2010-04-29,-0.0002624354870515156,0.0053099868207262535,
2010-04-30,0.009450490107197007,-0.01184215964087787,
2010-05-03,0.0032073682107545127,0.009320909671639566,
2010-05-04,-0.007431089412483605,-0.045665205350488784,
2010-05-05,0.0019151475080922964,0.006694665664864319,
2010-05-06,0.029542115893374413,-0.021755343691148843,
2010-05-07,-0.0018567052385298766,-0.011089472084460428,
2010-05-10,-0.0059186354760794035,0.05781320817553071,
2010-05-11,0.02628224887301189,-0.024154121801376882,
2010-05-12,0.006132918742485671,-0.007189867159949293,
2010-05-13,-0.006919307958495824,0.010862873893541458,
2010-05-14,-0.0015759373187779202,-0.006557332407469585,
2010-05-17,-0.008390811454910385,0.0008669832444758718,
2010-05-18,0.0010891169479798624,-0.018898771097340398,
2010-05-19,-0.02393506609649454,-0.007905764729773002,
2010-05-20,-0.006773566152110999,-0.03927757960839606,
2010-05-21,-0.005352166966580364,-0.006231422575079804,
2010-05-24,0.01406001550026037,0.0108251179643033,
2010-05-25,0.004450573586120221,-0.00018861178521711874,
2010-05-26,0.009458077629021178,-0.00335378662089647,
2010-05-27,0.0018570186388366934,0.03152669896865445,
2010-05-28,0.0016007666762023474,-0.009847905766279141,
